theme_group,theme,path,indicator_key,name,full_name,unit,n_years,first_year,last_year,n_regions,max_region_level,completeness,score
population,Population,Population > Divorces,22269716,Divorces,Les Divorces,Nombre,35,1990,2024,31,governorate,1.0,0.8151
population,Population,Population > Indicateurs démographiques > Natalité,27529859,Natalité,Taux brut de Natalité,Pour 1000 Habitants,34,1990,2023,30,governorate,1.0,0.7983
population,Population,Population > Indicateurs démographiques > Mortalité,27529869,Mortalité,Taux brut  de Mortalité,Pour 1000 Habitants,34,1990,2023,25,governorate,1.0,0.7983
population,Population,Population > Décés > Décés corrigés,22270516,Décés corrigés,Nombre des décés corrigés,Nombre,34,1990,2023,31,governorate,1.0,0.7983
population,Population,Population > Indicateurs démographiques > Indice synthétique de fécondité,27529909,Indice synthétique de fécondité,Indice synthétique de fécondité,Indice,31,1993,2023,25,governorate,1.0,0.7721
population,Population,Population > Naissance > Sexe > Rapport de masculinité,27966149,Rapport de masculinité,Rapport de masculinité par rapport au total des naissances,Pourcentage,31,1993,2023,31,governorate,1.0,0.7721
population,Population,Population > Naissance > Age de la mère > Non déclaré,22273816,Non déclaré,Nombre des naissances pour les mères dont l'âge est non déclaré,Nombre,30,1994,2023,31,governorate,1.0,0.7633
population,Population,Population > Naissance > Lieu d'accouchement > Domicile,22273916,Domicile,Nombre des naissances à domicile,Nombre,30,1994,2023,31,governorate,1.0,0.7633
population,Population,Population > Naissance > Lieu d'accouchement > Hôpital,22274016,Hôpital,Nombre des naissances à l'hôpital,Nombre,30,1994,2023,31,governorate,1.0,0.7633
population,Population,Population > Naissance > Lieu d'accouchement > Clinique,22274116,Clinique,Nombre des naissances au clinique,Nombre,30,1994,2023,31,governorate,1.0,0.7633
population,Population,Population > Naissance > Lieu d'accouchement > Non Décalré,22274216,Non Décalré,Nombre des naissances dont le lieu d'accouchement des non déclaré,Nombre,30,1994,2023,31,governorate,1.0,0.7633
population,Population,Population > Population au 1er janvier,11922316,Population au 1er janvier,Estimation de la Population au 1er janvier,Nombre,21,2005,2025,295,delegation,1.0,0.7632
population,Population,Population > Mariages > Groupe d'age de l'époux > 60 ans &+,22277916,60 ans &+,Nombre des mariages contractés pour les époux agés de 60 ans et plus,Nombre,26,1998,2023,31,governorate,1.0,0.7283
population,Population,Population > Mariages > Groupe d'age de l'épouse > 50 ans &+,22278716,50 ans &+,Nombre des mariages contractés pour les épouses agées de 50 ans et plus,Nombre,26,1998,2023,32,governorate,1.0,0.7283
population,Population,Population > Mariages > Groupe d'age de l'épouse > Non declaré,22288316,Non declaré,Nombre des mariages contractés pour les épouses dont l'âge est non déclaré,Nombre,23,1998,2021,32,governorate,1.0,0.6859
population,Population,Population > Mariages > Groupe d'age de l'époux > Non déclaré,22288216,Non déclaré,Nombre des mariages contractés pour les époux dont l'âge est non déclaré,Nombre,22,1998,2021,31,governorate,1.0,0.6772
population,Population,Population > Indicateurs démographiques > Mortinalité,27529879,Mortinalité,Taux brut  de Mortinatalité,Pour 1000 naissances,34,1990,2023,1,national,1.0,0.6733
population,Population,Population > Indicateurs démographiques > Nuptialité,27529889,Nuptialité,Taux brut démographiques de Nuptialité,Pour 1000 Habitants,34,1990,2023,1,national,1.0,0.6733
population,Population,Population > Indicateurs démographiques > Taux d'accroissement Naturel,27529899,Taux d'accroissement Naturel,Taux d'accroissement Naturel,Pourcentage,34,1990,2023,1,national,1.0,0.6733
population,Population,Population > Mariages > Groupe d'age de l'époux > Moins de 20 ans,22277016,Moins de 20 ans,Nombre des mariages contractés pour les époux agés de moins de 20 ans,Nombre,19,2005,2023,31,governorate,1.0,0.6671
population,Population,Population > Indicateurs démographiques > Taux de mortalité infantile,27529919,Taux de mortalité infantile,Taux de mortalité infantile,pour 1000 naissances,32,1992,2023,1,national,1.0,0.6558
population,Population,Population > Indicateurs démographiques > Espérance de vie à la naissance > Hommes,27529939,Hommes,Espérance de vie à la naissance chez les Hommes,an,32,1992,2023,1,national,1.0,0.6558
population,Population,Population > Indicateurs démographiques > Espérance de vie à la naissance > Femmes,27529949,Femmes,Espérance de vie à la naissance chez les Femmes,an,32,1992,2023,1,national,1.0,0.6558
population,Population,Population > Indicateurs démographiques > Part de la population urbaine,27966159,Part de la population urbaine,Part de la population urbaine par rapport à la population totale,Pourcentage,25,1990,2014,1,national,1.0,0.522
population,Population,Population > Indicateurs démographiques > Densité de la population au km²,27966169,Densité de la population au km²,Densité de la population au km²,Nombre,25,1990,2014,1,national,1.0,0.522
population,Population,Population > Mariages > Mois > Févirer,22275916,Févirer,Nombre des mariages contractés au mois de Févirer,Nombre,15,1998,2012,1,national,1.0,0.4183
prices_economy,Monnaie et banques,Monnaie et banques > Réseau bancaire par gouvernorat,27544679,Réseau bancaire par gouvernorat,Evolution du réseau bancaire par gouvernorat,Nombre,32,1990,2022,31,governorate,1.0,0.7727
prices_economy,Prix,Prix > Evolution de l'Indice des prix à la consommation familiale selon l'année de base > Base (1962=100),27665439,Base (1962=100),Evolution de l'Indice des prix à la consommation familiale pour l'année de base (1962=100),(1962=100),51,1975,2025,1,national,1.0,0.7419
prices_economy,Prix,Prix > Evolution de l'Indice des prix à la consommation familiale selon l'année de base > Base (1970=100),27665449,Base (1970=100),Evolution de l'Indice des prix à la consommation familiale pour l'année de base (1970=100),(1970=100),51,1975,2025,1,national,1.0,0.7419
prices_economy,Prix,Prix > Evolution de l'Indice des prix à la consommation familiale selon l'année de base > Base (1977=100),27665459,Base (1977=100),Evolution de l'Indice des prix à la consommation familiale pour l'année de base (1977=100),(1977=100),51,1975,2025,1,national,1.0,0.7419
prices_economy,Prix,Prix > Evolution de l'Indice des prix à la consommation familiale selon l'année de base > Base (1983=100),27665469,Base (1983=100),Evolution de l'Indice des prix à la consommation familiale pour l'année de base (1983=100),(1983=100),51,1975,2025,1,national,1.0,0.7419
prices_economy,Prix,Prix > Evolution de l'Indice des prix à la consommation familiale selon l'année de base > Base (1990=100),27665479,Base (1990=100),Evolution de l'Indice des prix à la consommation familiale pour l'année de base (1990=100),(1990=100),51,1975,2025,1,national,1.0,0.7419
prices_economy,Prix,Prix > Evolution de l'Indice des prix à la consommation familiale selon l'année de base > Base (2000=100),27665489,Base (2000=100),Evolution de l'Indice des prix à la consommation familiale pour l'année de base (2000=100),(2000=100),51,1975,2025,1,national,1.0,0.7419
